timeat60nm	I_1at60nm	I_2at60nm	I_3at60nm
9.750000e+01	133	113	149
9.770000e+01	135	114	132
9.790000e+01	140	113	133
9.810000e+01	148	113	137
9.830000e+01	135	113	140
9.850000e+01	138	113	130
9.870000e+01	145	113	137
9.890000e+01	135	114	131
9.910000e+01	138	113	135
9.930000e+01	143	115	136
9.950000e+01	135	113	134
9.970000e+01	139	113	146
9.990000e+01	129	117	144
