coordinates:	55.8,114.4	140.8,114.4	225.8,114.4
timeat300nm	I_1at300nm	I_2at300nm	I_3at300nm
4.930000e+01	133	114	131
4.940000e+01	113	132	118
4.950000e+01	142	116	128
4.960000e+01	113	136	125
4.970000e+01	155	117	124
4.980000e+01	113	133	116
4.990000e+01	152	116	125
50	113	137	116
5.010000e+01	137	115	130
5.020000e+01	113	144	119
5.030000e+01	137	114	129
5.040000e+01	113	145	125
5.050000e+01	148	115	127
5.060000e+01	113	142	117
5.070000e+01	146	116	121
5.080000e+01	113	133	123
5.090000e+01	144	114	133
51	113	136	121
5.110000e+01	142	115	136
5.120000e+01	113	144	118
5.130000e+01	145	116	124
5.140000e+01	113	149	119
5.150000e+01	142	115	131
5.160000e+01	113	138	117
5.170000e+01	146	115	137
5.180000e+01	113	147	119
5.190000e+01	148	116	126
52	113	139	120
5.210000e+01	161	117	123
5.220000e+01	113	133	118
5.230000e+01	142	115	122
5.240000e+01	113	135	120
5.250000e+01	143	116	129
5.260000e+01	113	143	118
5.270000e+01	140	114	124
5.280000e+01	113	135	121
5.290000e+01	144	115	125
53	113	149	115
5.310000e+01	148	116	124
5.320000e+01	113	137	122
5.330000e+01	142	116	131
5.340000e+01	113	136	120
5.350000e+01	137	116	128
5.360000e+01	113	136	120
5.370000e+01	147	116	128
5.380000e+01	113	138	119
5.390000e+01	147	115	131
54	113	148	119
5.410000e+01	155	115	126
5.420000e+01	113	136	120
5.430000e+01	149	113	127
5.440000e+01	113	139	118
5.450000e+01	150	116	126
5.460000e+01	113	135	117
5.470000e+01	140	116	131
5.480000e+01	113	133	123
5.490000e+01	141	117	131
55	113	138	121
5.510000e+01	142	115	127
5.520000e+01	113	142	117
5.530000e+01	146	114	136
5.540000e+01	113	146	122
5.550000e+01	151	116	122
5.560000e+01	113	139	123
5.570000e+01	135	114	127
5.580000e+01	113	138	120
5.590000e+01	147	115	127
56	113	144	124
5.610000e+01	144	115	132
5.620000e+01	113	136	124
5.630000e+01	145	114	127
5.640000e+01	113	141	121
5.650000e+01	150	116	128
5.660000e+01	113	143	121
5.670000e+01	145	114	122
5.680000e+01	113	141	120
5.690000e+01	137	113	128
57	113	142	117
5.710000e+01	144	116	128
5.720000e+01	113	138	118
5.730000e+01	148	116	131
5.740000e+01	113	137	123
5.750000e+01	136	114	127
5.760000e+01	113	138	124
5.770000e+01	140	115	132
5.780000e+01	113	139	121
5.790000e+01	151	116	128
58	113	138	121
5.810000e+01	144	113	124
5.820000e+01	113	143	116
5.830000e+01	140	114	125
5.840000e+01	113	145	114
5.850000e+01	141	114	126
5.860000e+01	113	138	118
5.870000e+01	150	114	134
5.880000e+01	113	147	118
5.890000e+01	141	114	131
59	113	136	122
5.910000e+01	134	114	127
5.920000e+01	113	145	119
5.930000e+01	149	114	131
5.940000e+01	113	131	117
5.950000e+01	145	115	126
5.960000e+01	113	136	127
5.970000e+01	143	114	125
5.980000e+01	113	140	119
5.990000e+01	150	115	131
60	113	145	120
6.010000e+01	145	113	134
6.020000e+01	113	139	119
6.030000e+01	142	114	132
6.040000e+01	113	136	123
6.050000e+01	145	116	131
6.060000e+01	113	141	121
6.070000e+01	149	113	134
6.080000e+01	113	141	119
6.090000e+01	146	115	128
61	113	147	119
6.110000e+01	155	114	135
6.120000e+01	113	142	125
6.130000e+01	146	113	127
6.140000e+01	113	147	121
6.150000e+01	139	115	129
6.160000e+01	113	140	117
6.170000e+01	139	116	136
6.180000e+01	113	142	120
6.190000e+01	148	114	129
62	113	146	119
6.210000e+01	137	115	129
6.220000e+01	113	142	120
6.230000e+01	153	116	133
6.240000e+01	113	136	116
6.250000e+01	141	115	133
6.260000e+01	113	134	119
6.270000e+01	140	115	128
6.280000e+01	113	143	115
6.290000e+01	134	114	131
63	113	139	118
6.310000e+01	140	117	128
6.320000e+01	113	143	120
6.330000e+01	135	116	136
6.340000e+01	113	149	119
6.350000e+01	153	113	123
