time at 532nm	frame at 532nm	I_1 at 532nm(counts)	discr.I_1 at 532nm(counts)	I_2 at 532nm(counts)	discr.I_2 at 532nm(counts)	I_3 at 532nm(counts)	discr.I_3 at 532nm(counts)	time at 638nm	frame at 638nm	I_1 at 638nm(counts)	discr.I_1 at 638nm(counts)	I_2 at 638nm(counts)	discr.I_2 at 638nm(counts)	I_3 at 638nm(counts)	discr.I_3 at 638nm(counts)	time at 532nm	frame at 532nm	FRET_1>2	discr.FRET_1>2	time at 532nm	frame at 532nm	S_1>2	discr.S_1>2	
4.171750e+00	41	9.374026e+03	9.681417e+03	9.685466e+02	1.024752e+03	1.449186e+02	5.289865e+01	4.273500e+00	42	-6.257924e+01	1.224976e+01	6.830501e+03	8.116522e+03	3.094996e+02	3.142081e+02	4.171750e+00	41	1.684634e-01	1.720050e-01	4.171750e+00	41	4.570263e-01	4.317745e-01	
4.375250e+00	43	9.038026e+03	9.681417e+03	5.622660e+01	1.024752e+03	9.991865e+01	5.289865e+01	4.477000e+00	44	-6.579235e+00	1.224976e+01	7.722501e+03	8.116522e+03	5.249963e+01	3.142081e+02	4.375250e+00	43	1.205126e-02	1.720050e-01	4.375250e+00	43	3.766205e-01	4.317745e-01	
4.578750e+00	45	1.110803e+04	9.681417e+03	8.901266e+02	1.024752e+03	1.791865e+01	5.289865e+01	4.680500e+00	46	1.264208e+02	1.224976e+01	6.782501e+03	8.116522e+03	1.134996e+02	3.142081e+02	4.578750e+00	45	1.357890e-01	1.720050e-01	4.578750e+00	45	4.914797e-01	4.317745e-01	
4.782250e+00	47	9.704026e+03	9.681417e+03	1.379887e+03	1.024752e+03	2.491865e+01	5.289865e+01	4.884000e+00	48	1.024208e+02	1.224976e+01	7.458501e+03	8.116522e+03	2.704996e+02	3.142081e+02	4.782250e+00	47	2.180281e-01	1.720050e-01	4.782250e+00	47	4.590366e-01	4.317745e-01	
4.985750e+00	49	1.028503e+04	9.681417e+03	6.879366e+02	1.024752e+03	1.519186e+02	5.289865e+01	5.087500e+00	50	2.742076e+01	1.224976e+01	7.672501e+03	8.116522e+03	5.064996e+02	3.142081e+02	4.985750e+00	49	1.159450e-01	1.720050e-01	4.985750e+00	49	4.360860e-01	4.317745e-01	
5.189250e+00	51	1.125803e+04	9.681417e+03	7.157266e+02	1.024752e+03	2.289186e+02	5.289865e+01	5.291000e+00	52	-5.757924e+01	1.224976e+01	8.927501e+03	8.116522e+03	2.374996e+02	3.142081e+02	5.189250e+00	51	1.108396e-01	1.720050e-01	5.189250e+00	51	4.197202e-01	4.317745e-01	
5.392750e+00	53	1.066503e+04	9.681417e+03	9.539766e+02	1.024752e+03	-6.108135e+01	5.289865e+01	5.494500e+00	54	1.354208e+02	1.224976e+01	6.440501e+03	8.116522e+03	2.194996e+02	3.142081e+02	5.392750e+00	53	1.492188e-01	1.720050e-01	5.392750e+00	53	4.981548e-01	4.317745e-01	
5.596250e+00	55	8.394026e+03	9.681417e+03	1.048727e+03	1.024752e+03	-1.050814e+02	5.289865e+01	5.698000e+00	56	6.742076e+01	1.224976e+01	7.651501e+03	8.116522e+03	4.794996e+02	3.142081e+02	5.596250e+00	55	1.967710e-01	1.720050e-01	5.596250e+00	55	4.105697e-01	4.317745e-01	
5.799750e+00	57	9.579026e+03	9.681417e+03	9.298166e+02	1.024752e+03	1.199186e+02	5.289865e+01	5.901500e+00	58	1.342076e+01	1.224976e+01	9.449501e+03	8.116522e+03	4.424996e+02	3.142081e+02	5.799750e+00	57	1.598964e-01	1.720050e-01	5.799750e+00	57	3.809541e-01	4.317745e-01	
6.003250e+00	59	9.538026e+03	9.681417e+03	9.294266e+02	1.024752e+03	-4.508135e+01	5.289865e+01	6.105000e+00	60	2.844208e+02	1.224976e+01	6.562501e+03	8.116522e+03	3.604996e+02	3.142081e+02	6.003250e+00	59	1.604169e-01	1.720050e-01	6.003250e+00	59	4.688952e-01	4.317745e-01	
